# $Id$
# $Rev$
# $LastChangedBy$
# $LastChangedDate$
#
# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    (bt <= 15.5 and objtype='G' and logd25 between 1.0 and 2.5) 
# OR (objname in ('PGC008328', 'PGC008340', 'PGC008330'))
#
# Display the fields:              objname as NAME,al2000*15 as ra,de2000 as dec, logd25, logr25, pa, bt
# Order by:                        al2000
# Description of each column
# objname as NAME: ----- Object name
# al2000*15 as ra: ----- Right ascension (deg)
# de2000 as dec: ------- Declination (deg)
#  logd25: ------------- Log10 diameter (0.1 arcmin) at mu=25 mag/asec^2
#  logr25: ------------- Log10 major-minor axis ratio
#  pa: ----------------- Position Angle
#  bt: ----------------- Total B-band magnitude
#-----,---,----,-------,-------,---,---
# name, ra, dec, logd25, logr25, pa, bt
#-----,---,----,-------,-------,---,---
UGC12889,0.006945,47.2745815,1.271,0.2,163.5,14.241
PGC000012,0.0359505,-6.3739239,1.154,0.66,168.2,14.79
PGC000023,0.089541,-2.6120278,1.157,0.295,127.51,15.4
ESO012-012,0.0919995,-80.7928889,1.149,0.079,,13.95
UGC12893,0.118755,17.2202687,1.06,0.049,,15.238
ESO293-027,0.122823,-40.484428,1.305,0.613,143.65,14.363
UGC12897,0.1580835,28.3844722,1.063,0.49,7.83,14.822
ESO193-009,0.2218335,-47.3568333,1.111,0.68,157.03,15.19
ESO293-029,0.2312145,-40.7123812,1.144,0.166,18.81,14.921
ESO349-017,0.2440185,-33.6119118,1.078,0.073,115.63,14.577
UGC12901,0.2454585,28.9116944,1.099,0.398,45,14.731
NGC7802,0.2515185,6.2419546,1.073,0.17,52.5,14.636
ESO241-010,0.262041,-43.3304444,1.172,0.072,174.56,14.128
ESO149-011A,0.2748615,-53.9918027,1.046,0.155,175.96,14.76
ESO241-011,0.3074295,-44.0118428,1.043,0.367,106.46,15.126
UGC12904,0.309042,34.6757222,1.01,0.172,34.38,15.347
ESO409-001,0.3294585,-27.4198889,1.025,0.216,103.1,15.125
IC5376,0.332334,34.5257222,1.215,0.57,4,14.61
NGC7805,0.361545,31.4337499,1.151,0.31,47,14.198
NGC7806,0.3754695,31.4419151,1.083,0.267,20.09,14.286
UGC12914,0.409659,23.4835936,1.271,0.217,159.67,13.229
UGC12915,0.4246905,23.4958156,1.15,0.458,135.67,13.948
ESO409-003,0.4825335,-27.6272202,1.135,0.069,31.87,14.569
ESO409-004,0.4884705,-27.9994423,1.084,0.457,53.92,15.14
PGC000143,0.492408,-15.4608968,2.019,0.469,5,11.038
PGC000160,0.543792,-43.9777222,1.134,0.124,165.2,14.7
UGC12920,0.5961195,27.2105425,1.037,0.619,48.4,15.442
ESO409-007,0.6346245,-30.6216944,1.081,0.33,168.52,14.664
PGC000176,0.64512,-3.7107668,1.03,0.215,179.8,14.485
ESO012-014,0.676626,-80.3482549,1.178,0.562,23.4,14.89
UGC00003,0.6931665,18.8862778,1.111,0.424,83.99,14.729
ESO149-013,0.69402,-52.7716091,1.071,0.51,102.6,15.46
PGC000192,0.702696,-3.6060594,1.039,0.575,25,15.24
NGC7812,0.7270395,-34.2356423,1.042,0.178,112.17,13.994
ESO293-031,0.770757,-42.1785871,1.031,0.344,125.75,15.356
UGC00005,0.773571,-1.9138398,1.144,0.338,47,14.222
PGC000211,0.796047,-54.7494515,1.03,0.076,69.15,14.44
IC5381,0.796845,15.9656899,1.091,0.519,52.07,14.845
ESO349-022,0.803991,-35.9369672,1.08,0.009,,14.596
PGC2453273,0.805458,53.8708056,1.04,0.48,109,15.43
NGC7814,0.812559,16.1456194,1.64,0.366,134.53,11.593
